"soft","H","Gini","AUC","AUCH","KS","MWL","Spec.Sens95","Sens.Spec95","Sens","Spec","Precision","Recall","TPR","FPR","F","Youden","TP","FP","TN","FN","MCC"
"signalP41notm","6","6","6","6","6","6","7","6","6","5","3","6","6","6","5","6","6","6","5","6","5"
"signalP41tm","7","7","7","7","7","4","4","10","8","1","1","8","8","10","7","7","8","10","1","4","7"
"signalP3nn","4","4","4","4","4","7","9","6","4","6","1","4","4","6","3","4","4","6","6","7","3"
"signalP3hmm","10","9","9","9","9","2","6","8","9","4","9","9","9","7","10","9","9","7","4","2","10"
"predsi","10","10","10","10","10","1","2","1","10","1","8","10","10","10","10","10","10","10","1","1","10"
"philius","9","10","10","10","10","1","3","10","10","2","2","10","10","9","9","10","10","9","2","1","9"
"phobius","8","8","8","8","8","3","5","9","8","3","4","8","8","8","8","8","8","8","3","4","8"
"signalHsmm_10","1","1","1","1","1","10","1","1","1","10","10","1","1","1","1","1","1","1","10","10","1"
"signalHsmmNOHOM50_10","1","1","1","1","1","10","1","2","1","10","6","1","1","2","1","1","1","2","10","10","1"
"signalHsmmNODEG_10","5","5","5","5","5","6","8","5","5","7","5","5","5","4","6","5","5","4","7","6","6"
"signalHsmm_87","2","3","3","3","3","8","10","4","3","8","6","3","3","3","2","3","3","3","8","8","2"
"signalHsmmNOHOM50_87","3","2","2","2","2","9","10","3","2","10","10","2","2","2","4","2","2","2","10","9","4"
"signalHsmmNODEG_87","6","6","6","6","6","5","6","7","6","6","7","6","6","6","6","6","6","6","6","5","6"
